source,target,prob
yang,chua,0.20851231412808172
yang,ðuc,0.1137968331468991
yang,đuc,0.06977558323967935
yang,gie,0.05992579414893028
yang,va,0.05216399960829127
yang,ho,0.04010327022822009
yang,cua,0.039060343668950885
yang,phan,0.034350157676517855
yang,than,0.024346606956753447
yang,nguoi,0.023328781404383558
yang,đa,0.01618533425646291
yang,ta,0.016019321483317323
yang,ngai,0.014860072398584228
yang,la,0.013771012504608982
yang,se,0.012922115930891837
yang,cac,0.012484852894474478
yang,cho,0.011208822133103572
yang,chung,0.009664410568683113
yang,ra,0.007832389753310446
yang,the,0.007669661836199038
hornet,đe,0.08898757905688305
hornet,don,0.06385766730360784
hornet,san,0.05555850161131258
hornet,bi,0.044969899964114025
hornet,cac,0.038221878259245605
hornet,tat,0.036254692536715566
hornet,cho,0.03292981828477474
hornet,thuong,0.028814080361276053
hornet,chuan,0.026705694471343747
hornet,nguoi,0.02596180568323775
hornet,hay,0.020975251064058183
hornet,lai,0.018596574527139444
hornet,chung,0.017796974300023756
hornet,vi,0.016239765138536564
hornet,chua,0.015421329146641573
hornet,lo,0.014814729002522004
hornet,nhune,0.012832521416547107
hornet,xu,0.011813284631326715
hornet,vu,0.01162172901598709
hornet,sua,0.011245109192697396
noh,ay,0.09471684187281791
noh,đo,0.09304915326197337
noh,la,0.05356734273206125
noh,nguoi,0.05159184124095381
noh,va,0.03374507135206391
noh,cua,0.023240837935729612
noh,vay,0.022509958916562982
noh,đa,0.020959932967494932
noh,the,0.020938975328318135
noh,cac,0.02068037151445836
noh,co,0.017581789955179058
noh,nhung,0.017480384322260536
noh,cho,0.01651006393139357
noh,ra,0.01615156296621491
noh,con,0.015415972607775861
noh,thi,0.014782883556196402
noh,ong,0.014492678615660818
noh,noi,0.013499307090983502
noh,ta,0.013064417939567358
noh,se,0.01302535446639077
potao,vua,0.7257356141802879
potao,cua,0.01707035857987953
potao,đa,0.01492424180515351
potao,cac,0.014618490181264524
potao,va,0.01404907206771138
potao,vuong,0.009247066265083245
potao,ong,0.008789327424741
potao,la,0.006492088844539876
potao,ra,0.006342914053210877
potao,gio,0.00566321796942986
potao,sa,0.005440621155884729
potao,cung,0.00543663024829714
potao,quan,0.00473609819660639
potao,tri,0.0045685923750676295
potao,nha,0.004220555622283481
potao,nguoi,0.004078386413089167
potao,hoang,0.0037623286543233517
potao,voi,0.0037571993983110505
potao,vi,0.003472406248731451
potao,tau,0.003304546192851626
ku,cu,0.17668382643110905
ku,dam,0.038271330704589546
ku,nhung,0.037210513565537146
ku,ke,0.03718379608862988
ku,lam,0.03133335906698693
ku,cung,0.023116605694707366
ku,gian,0.019740352078746717
ku,vo,0.01749534207024587
ku,cho,0.017431820295184315
ku,ngoai,0.01607818032925694
ku,minh,0.015423696705826048
ku,co,0.014777474873277718
ku,can,0.01476662935135548
ku,nguoi,0.01462335553956436
ku,ma,0.013168323290450654
ku,no,0.010765249439825153
ku,cua,0.010193744240385312
ku,chung,0.009765546772738762
ku,o,0.009647609227846033
ku,ue,0.008346546882172434
horn,hom,0.19596145687298344
horn,leu,0.11195623355385184
horn,phia,0.08648438426222643
horn,len,0.07002541153593733
